DOI,ParsingDate,Accesses,Citations,Altmetric
10.1038/sdata201612,2024-08-24,23000,124,23
10.1038/sdata20166,2024-08-24,14000,65,186
10.1038/sdata201611,2024-08-24,41000,355,185
10.1038/sdata201616,2024-08-24,5090,8,7
10.1038/sdata201619,2024-08-24,7129,19,11
10.1038/sdata201615,2024-08-24,10000,63,6
10.1038/sdata201617,2024-08-24,23000,173,101
10.1038/sdata201621,2024-08-24,9513,41,6
10.1038/sdata201624,2024-08-24,13000,137,20
10.1038/sdata201623,2024-08-24,4141,15,17
10.1038/sdata201622,2024-08-24,2968,5,1
10.1038/sdata201629,2024-08-24,10000,55,3
10.1038/sdata201627,2024-08-24,6446,10,29
10.1038/sdata201631,2024-08-24,3476,2,0
10.1038/sdata201626,2024-08-24,21000,123,20
10.1038/sdata201628,2024-08-24,17000,74,58
10.1038/sdata201632,2024-08-24,10000,74,18
10.1038/sdata201630,2024-08-24,11000,86,9
10.1038/sdata201635,2024-08-24,250000,3809,161
10.1038/sdata201620,2024-08-24,12000,14,6
10.1038/sdata201636,2024-08-24,1728,9,0
10.1038/sdata201638,2024-08-24,4177,30,6
10.1038/sdata201637,2024-08-24,30000,179,10
10.1038/sdata201634,2024-08-24,84000,66,1270
10.1038/sdata201625,2024-08-24,48000,382,86
10.1038/sdata201641,2024-08-24,10000,42,11
10.1038/sdata201640,2024-08-24,7664,7,6
10.1038/sdata201644,2024-08-24,69000,737,106
10.1038/sdata201643,2024-08-24,18000,33,44
10.1038/sdata201639,2024-08-24,11000,114,16
10.1038/sdata201646,2024-08-24,18000,80,26
10.1038/sdata201642,2024-08-24,2958,2,9
10.1038/sdata201645,2024-08-24,2701,12,2
10.1038/sdata201652,2024-08-24,4358,4,10
10.1038/sdata201648,2024-08-24,7270,66,28
10.1038/sdata201650,2024-08-24,5985,36,35
10.1038/sdata201651,2024-08-24,4652,36,4
10.1038/sdata201647,2024-08-24,8261,19,3
10.1038/sdata201654,2024-08-24,6692,101,26
10.1038/sdata201653,2024-08-24,3328,13,22
10.1038/sdata201664,2024-08-24,4728,57,0
